epoch,GPU,batchNum,modelCutID_T,allDelay,SendSrunModelReci,CModelDelay
2,1,5,21,2726,138,2588
2,1,5,22,2750,137,2613
3,0,1,0,3038,2804,234
3,0,1,1,16308,16285,23
3,0,1,2,16663,16514,149
3,0,1,3,5704,5498,206
3,0,1,4,9056,8817,239
3,0,1,5,9059,8722,337
3,0,1,6,3825,3453,372
3,0,1,7,5424,5026,398
3,0,1,8,5210,4748,462
3,0,1,9,5160,4624,536
3,0,1,10,2766,2238,528
3,0,1,11,3381,2776,604
3,0,1,12,3317,2670,647
3,0,1,13,3325,2613,712
3,0,1,14,2241,1503,738
3,0,1,15,2187,1426,761
3,0,1,16,2148,1397,751
3,0,1,17,2074,1283,791
3,0,1,18,1867,1059,808
3,0,1,19,1831,360,1470
3,0,1,20,1796,140,1656
3,0,1,21,1765,128,1637
3,0,1,22,1776,129,1647
3,1,1,0,2099,2006,93
3,1,1,1,15284,15264,20
3,1,1,2,15482,15331,151
3,1,1,3,5028,4844,184
3,1,1,4,8453,8217,236
3,1,1,5,8589,8250,339
3,1,1,6,3435,3067,368
3,1,1,7,4998,4602,396
3,1,1,8,5015,4546,469
3,1,1,9,5075,4544,531
3,1,1,10,2694,2148,546
3,1,1,11,3406,2810,596
3,1,1,12,3435,2819,616
3,1,1,13,3449,2762,687
3,1,1,14,2288,1585,703
3,1,1,15,2186,1466,720
3,1,1,16,2268,1508,760
3,1,1,17,2248,1496,752
3,1,1,18,2040,1278,762
3,1,1,19,1706,264,1442
3,1,1,20,1733,144,1589
3,1,1,21,1789,129,1660
3,1,1,22,1758,141,1617
3,0,2,0,3537,3444,93
3,0,2,1,30531,30497,34
3,0,2,2,30510,30324,185
3,0,2,3,9427,9169,258
3,0,2,4,16005,15704,301
3,0,2,5,15766,15356,410
3,0,2,6,5696,5263,433
3,0,2,7,8672,8186,486
3,0,2,8,8868,8331,537
3,0,2,9,8537,7922,615
3,0,2,10,3830,3168,662
3,0,2,11,4971,4300,671
3,0,2,12,5132,4359,773
3,0,2,13,5087,4266,821
3,0,2,14,2714,1901,813
3,0,2,15,2527,1682,845
3,0,2,16,2621,1720,901
3,0,2,17,2480,1584,896
3,0,2,18,2155,1190,965
3,0,2,19,2025,371,1653
3,0,2,20,1913,183,1730
3,0,2,21,1901,134,1767
3,0,2,22,1871,134,1737
3,1,2,0,2757,2630,127
3,1,2,1,29655,29624,31
3,1,2,2,29674,29492,182
3,1,2,3,8627,8381,246
3,1,2,4,15151,14840,311
3,1,2,5,15344,14946,398
3,1,2,6,5222,4764,458
3,1,2,7,8382,7908,474
3,1,2,8,8417,7872,545
3,1,2,9,8910,8290,620
3,1,2,10,3613,2963,650
3,1,2,11,5003,4324,679
3,1,2,12,5087,4325,762
3,1,2,13,5048,4259,789
3,1,2,14,2885,2039,846
3,1,2,15,2622,1784,838
3,1,2,16,2717,1842,875
3,1,2,17,2732,1820,912
3,1,2,18,2308,1368,940
3,1,2,19,1896,277,1619
3,1,2,20,1973,173,1800
3,1,2,21,1951,131,1820
3,1,2,22,1921,131,1790
3,0,3,0,4154,4021,133
3,0,3,1,44552,44509,43
3,0,3,2,44640,44414,226
3,0,3,3,12932,12630,302
3,0,3,4,22829,22487,342
3,0,3,5,22728,22249,479
3,0,3,6,7544,7041,503
3,0,3,7,12120,11587,533
3,0,3,8,12062,11416,646
3,0,3,9,11876,11140,736
3,0,3,10,4989,4212,777
3,0,3,11,6552,5793,759
3,0,3,12,6680,5820,860
3,0,3,13,6489,5533,956
3,0,3,14,3334,2399,935
3,0,3,15,3015,2007,1008
3,0,3,16,3113,2048,1065
3,0,3,17,3022,1944,1078
3,0,3,18,2309,1264,1045
3,0,3,19,2030,299,1731
3,0,3,20,2115,191,1924
3,0,3,21,2159,136,2023
3,0,3,22,2041,138,1903
3,1,3,0,3437,3262,175
3,1,3,1,43769,43728,41
3,1,3,2,44140,43929,211
3,1,3,3,12266,11980,286
3,1,3,4,22680,22326,354
3,1,3,5,22497,22017,480
3,1,3,6,7043,6542,501
3,1,3,7,11890,11336,554
3,1,3,8,11689,11060,629
3,1,3,9,11876,11140,736
3,1,3,10,4750,4007,743
3,1,3,11,6631,5838,793
3,1,3,12,6708,5876,832
3,1,3,13,6725,5805,920
3,1,3,14,3517,2597,920
3,1,3,15,3037,2108,929
3,1,3,16,3062,2116,946
3,1,3,17,3203,2207,996
3,1,3,18,2521,1495,1026
3,1,3,19,2079,339,1740
3,1,3,20,2033,187,1846
3,1,3,21,2024,138,1886
3,1,3,22,2007,135,1872
3,0,4,0,4945,4783,162
3,0,4,1,58631,58575,56
3,0,4,2,58404,58137,267
3,0,4,3,16502,16147,355
3,0,4,4,29800,29394,406
3,0,4,5,30005,29460,545
3,0,4,6,9462,8893,569
3,0,4,7,15452,14828,624
3,0,4,8,15586,14882,704
3,0,4,9,15599,14799,800
3,0,4,10,5736,4902,834
3,0,4,11,8462,7577,885
3,0,4,12,8566,7551,1015
3,0,4,13,8312,7295,1017
3,0,4,14,3952,2922,1030
3,0,4,15,3529,2392,1137
3,0,4,16,3515,2388,1127
3,0,4,17,3400,2232,1168
3,0,4,18,2575,1421,1154
3,0,4,19,2315,424,1891
3,0,4,20,2193,203,1990
3,0,4,21,2173,157,2016
3,0,4,22,2156,135,2021
3,1,4,0,4129,3913,216
3,1,4,1,57485,57433,52
3,1,4,2,58269,58027,242
3,1,4,3,15982,15641,341
3,1,4,4,29160,28763,397
3,1,4,5,29653,29125,528
3,1,4,6,8968,8393,575
3,1,4,7,15131,14519,612
3,1,4,8,15278,14573,705
3,1,4,9,15274,14439,835
3,1,4,10,5613,4803,810
3,1,4,11,8243,7375,868
3,1,4,12,8441,7493,948
3,1,4,13,8301,7284,1017
3,1,4,14,4036,3002,1034
3,1,4,15,3563,2501,1062
3,1,4,16,3540,2433,1107
3,1,4,17,3566,2440,1126
3,1,4,18,2764,1602,1162
3,1,4,19,2123,312,1811
3,1,4,20,2143,199,1944
3,1,4,21,2169,137,2032
3,1,4,22,2173,134,2039
3,0,5,0,5693,5490,203
3,0,5,1,72975,72898,77
3,0,5,2,73886,73494,392
3,0,5,3,20916,20371,545
3,0,5,4,37055,36433,622
3,0,5,5,37085,36218,867
3,0,5,6,11560,10665,895
3,0,5,7,19152,18186,966
3,0,5,8,19338,18195,1143
3,0,5,9,19281,17985,1296
3,0,5,10,7121,5782,1339
3,0,5,11,10618,9247,1371
3,0,5,12,10581,9071,1510
3,0,5,13,10417,8782,1635
3,0,5,14,5123,3450,1673
3,0,5,15,4406,2716,1690
3,0,5,16,4402,2718,1684
3,0,5,17,4290,2557,1733
3,0,5,18,3319,1530,1789
3,0,5,19,2773,310,2463
3,0,5,20,2826,217,2609
3,0,5,21,2778,139,2639
3,0,5,22,2803,142,2661
3,1,5,0,4884,4649,235
3,1,5,1,71737,71660,77
3,1,5,2,71596,71198,398
3,1,5,3,19699,19189,510
3,1,5,4,36387,35762,625
3,1,5,5,36351,35499,852
3,1,5,6,11112,10234,878
3,1,5,7,18761,17773,988
3,1,5,8,19079,17917,1162
3,1,5,9,18957,17666,1291
3,1,5,10,7020,5682,1338
3,1,5,11,10414,9054,1360
3,1,5,12,10338,8869,1469
3,1,5,13,10431,8835,1596
3,1,5,14,4974,3385,1589
3,1,5,15,4531,2835,1696
3,1,5,16,4509,2791,1718
3,1,5,17,4566,2835,1731
3,1,5,18,3412,1687,1725
3,1,5,19,2753,323,2430
3,1,5,20,2821,215,2606
3,1,5,21,2782,141,2641
3,1,5,22,2769,137,2632
4,0,1,0,3026,2795,231
4,0,1,1,16264,16241,23
4,0,1,2,16046,15884,162
4,0,1,3,5684,5493,191
4,0,1,4,8887,8644,243
4,0,1,5,8873,8515,358
4,0,1,6,3742,3370,372
4,0,1,7,5204,4820,384
4,0,1,8,5486,5027,459
4,0,1,9,5382,4807,575
4,0,1,10,2900,2338,562
4,0,1,11,3463,2879,584
4,0,1,12,3353,2718,635
4,0,1,13,3324,2587,737
4,0,1,14,2224,1497,727
4,0,1,15,2164,1422,742
4,0,1,16,2187,1401,786
4,0,1,17,2058,1294,764
4,0,1,18,1899,1065,834
4,0,1,19,1844,362,1482
4,0,1,20,1744,146,1598
4,0,1,21,1787,123,1664
4,0,1,22,1757,126,1631
4,1,1,0,2014,1931,83
4,1,1,1,15286,15266,20
4,1,1,2,15880,15721,159
4,1,1,3,4981,4782,199
4,1,1,4,8401,8135,266
4,1,1,5,8515,8174,341
4,1,1,6,3379,3023,356
4,1,1,7,5012,4614,398
4,1,1,8,4979,4513,466
4,1,1,9,5087,4544,543
4,1,1,10,2690,2136,554
4,1,1,11,3382,2815,567
4,1,1,12,3555,2939,616
4,1,1,13,3468,2779,689
4,1,1,14,2386,1711,675
4,1,1,15,2318,1566,752
4,1,1,16,2237,1500,737
4,1,1,17,2252,1480,772
4,1,1,18,2066,1277,789
4,1,1,19,1814,355,1459
4,1,1,20,1740,142,1598
4,1,1,21,1744,124,1620
4,1,1,22,1767,127,1640
4,0,2,0,3447,3362,85
4,0,2,1,30292,30258,34
4,0,2,2,31009,30827,182
4,0,2,3,9751,9485,266
4,0,2,4,16145,15812,333
4,0,2,5,16021,15614,407
4,0,2,6,5763,5313,450
4,0,2,7,8754,8258,496
4,0,2,8,8797,8249,548
4,0,2,9,8674,8048,626
4,0,2,10,3800,3165,635
4,0,2,11,5053,4357,696
4,0,2,12,4937,4156,781
4,0,2,13,4992,4153,839
4,0,2,14,2802,1927,875
4,0,2,15,2618,1716,902
4,0,2,16,2634,1710,924
4,0,2,17,2525,1617,908
4,0,2,18,2143,1166,977
4,0,2,19,1899,291,1607
4,0,2,20,1928,182,1746
4,0,2,21,1956,130,1826
4,0,2,22,1888,128,1760
4,1,2,0,2729,2602,127
4,1,2,1,29164,29132,32
4,1,2,2,29519,29334,185
4,1,2,3,8554,8317,237
4,1,2,4,15397,15092,305
4,1,2,5,15896,15488,408
4,1,2,6,5313,4868,445
4,1,2,7,8465,7967,498
4,1,2,8,8472,7911,561
4,1,2,9,8562,7914,648
4,1,2,10,3700,3045,655
4,1,2,11,5581,4880,701
4,1,2,12,5140,4388,752
4,1,2,13,5249,4426,823
4,1,2,14,2994,2165,829
4,1,2,15,2785,1928,857
4,1,2,16,2681,1805,876
4,1,2,17,2723,1817,906
4,1,2,18,2292,1378,914
4,1,2,19,1908,274,1634
4,1,2,20,1929,171,1758
4,1,2,21,1895,129,1766
4,1,2,22,1925,131,1794
4,0,3,0,4187,4059,128
4,0,3,1,45197,45151,46
4,0,3,2,45012,44788,224
4,0,3,3,12896,12597,299
4,0,3,4,22726,22379,347
4,0,3,5,22768,22303,465
4,0,3,6,7505,6983,522
4,0,3,7,12062,11510,552
4,0,3,8,12184,11544,640
4,0,3,9,12081,11353,728
4,0,3,10,4793,4063,730
4,0,3,11,6816,6060,756
4,0,3,12,6736,5893,843
4,0,3,13,6637,5737,900
4,0,3,14,3457,2521,936
4,0,3,15,3201,2152,1049
4,0,3,16,3062,2015,1047
4,0,3,17,3105,2059,1046
4,0,3,18,2739,1682,1057
4,0,3,19,2143,288,1855
4,0,3,20,2053,177,1876
4,0,3,21,2066,137,1929
4,0,3,22,2107,177,1930
4,1,3,0,3431,3267,164
4,1,3,1,43555,43514,41
4,1,3,2,43732,43512,220
4,1,3,3,12312,12019,293
4,1,3,4,22078,21734,344
4,1,3,5,22491,22029,462
4,1,3,6,7097,6585,512
4,1,3,7,11741,11205,536
4,1,3,8,11843,11220,623
4,1,3,9,11852,11132,720
4,1,3,10,4636,3886,750
4,1,3,11,6620,5856,764
4,1,3,12,6742,5880,862
4,1,3,13,6716,5811,905
4,1,3,14,3368,2455,913
4,1,3,15,3095,2121,974
4,1,3,16,3132,2169,963
4,1,3,17,3128,2102,1026
4,1,3,18,2551,1507,1044
4,1,3,19,2043,283,1760
4,1,3,20,2063,182,1881
4,1,3,21,2052,164,1888
4,1,3,22,2050,139,1911
4,0,4,0,4841,4680,161
4,0,4,1,58868,58811,57
4,0,4,2,58259,57997,262
4,0,4,3,16408,16050,358
4,0,4,4,30244,29708,536
4,0,4,5,29513,28973,540
4,0,4,6,9419,8815,604
4,0,4,7,15474,14859,615
4,0,4,8,15320,14620,700
4,0,4,9,15362,14556,806
4,0,4,10,5736,4912,824
4,0,4,11,8357,7461,896
4,0,4,12,8244,7297,947
4,0,4,13,8211,7145,1066
4,0,4,14,3891,2821,1070
4,0,4,15,3606,2481,1125
4,0,4,16,3532,2388,1144
4,0,4,17,3382,2233,1149
4,0,4,18,2581,1409,1172
4,0,4,19,2154,308,1846
4,0,4,20,2181,197,1984
4,0,4,21,2153,147,2006
4,0,4,22,2194,135,2059
4,1,4,0,4454,4251,203
4,1,4,1,57482,57430,52
4,1,4,2,57755,57517,238
4,1,4,3,15955,15620,335
4,1,4,4,29152,28759,393
4,1,4,5,29082,28540,542
4,1,4,6,8811,8229,582
4,1,4,7,14933,14310,623
4,1,4,8,15143,14445,698
4,1,4,9,15207,14397,810
4,1,4,10,5576,4749,827
4,1,4,11,8141,7271,870
4,1,4,12,8259,7331,928
4,1,4,13,8433,7353,1080
4,1,4,14,4033,2990,1043
4,1,4,15,3548,2455,1093
4,1,4,16,3567,2463,1104
4,1,4,17,3638,2464,1174
4,1,4,18,2746,1593,1153
4,1,4,19,2114,313,1801
4,1,4,20,2186,183,2003
4,1,4,21,2152,130,2022
4,1,4,22,2125,135,1990
4,0,5,0,5612,5410,202
4,0,5,1,72797,72719,78
4,0,5,2,72113,71707,406
4,0,5,3,20291,19744,547
4,0,5,4,36839,36206,633
4,0,5,5,36820,35967,853
4,0,5,6,11823,10924,899
4,0,5,7,19022,18025,997
4,0,5,8,19385,18224,1161
4,0,5,9,19141,17863,1278
4,0,5,10,7119,5733,1386
4,0,5,11,10316,8956,1360
4,0,5,12,10232,8758,1474
4,0,5,13,10247,8622,1625
4,0,5,14,4985,3352,1633
4,0,5,15,4376,2702,1674
4,0,5,16,4374,2706,1668
4,0,5,17,4326,2561,1765
4,0,5,18,3389,1563,1826
4,0,5,19,3040,497,2543
4,0,5,20,3175,246,2929
4,0,5,21,2819,138,2681
4,0,5,22,2909,197,2712
4,1,5,0,4835,4591,244
4,1,5,1,71762,71696,66
4,1,5,2,71695,71307,388
4,1,5,3,19234,18726,508
4,1,5,4,36076,35460,616
4,1,5,5,36222,35392,830
4,1,5,6,10970,10053,917
4,1,5,7,18733,17779,954
4,1,5,8,18852,17724,1128
4,1,5,9,18838,17567,1271
4,1,5,10,6958,5652,1306
4,1,5,11,10185,8807,1378
4,1,5,12,10512,9065,1447
4,1,5,13,10441,8859,1582
4,1,5,14,5060,3469,1591
4,1,5,15,4415,2757,1658
4,1,5,16,4417,2767,1650
4,1,5,17,4470,2699,1771
4,1,5,18,3476,1745,1731
4,1,5,19,2800,405,2395
4,1,5,20,2843,250,2593
4,1,5,21,2745,152,2593
4,1,5,22,2745,143,2602
